"authority_score","betweenness","closeness","cohens_f","cohens_f_category","community","degree","df_between","df_within","effect_size_category","effect_size_ratio","eigenvector","eta_squared","expression_range","f_statistic","functional_category","functional_diversity","functional_significance","functional_specificity_ratio","functional_structural_importance","global_mean","hpa_cancer_confidence","hpa_cancer_expressed","hpa_cancer_high","hpa_cancer_low","hpa_cancer_medium","hpa_cancer_not_detected","hpa_cancer_type","hpa_data_quality","hpa_expression_pattern","hpa_filter_cancer_quality","hpa_filter_has_data","hpa_filter_normal_quality","hpa_high_confidence","hpa_normal_cell_type","hpa_normal_expressed","hpa_normal_level","hpa_normal_reliability","hpa_normal_reliable","hpa_normal_tissue","hpa_passes_filter","hpa_potential_suppressor","hpa_therapeutic_target","hub_score","IHC tissue name","is_seed","is_well_expressed","Matching.Attribute","mean_expr_BaSq","mean_expr_GU","mean_expr_UroA","mean_expr_UroB","mean_expr_UroC","min_p_adjust","n_pathways","name","omega_squared","overall_sd","p_adjusted_bh","p_adjusted_bonf","p_value","partial_eta_squared","pathway","pathway_role","pathway_sharing","pathways_list","rank_BaSq","rank_GU","rank_UroA","rank_UroB","rank_UroC","sc_cancer_cells_expressing","sc_cancer_classification","sc_cancer_detection_rate","sc_cancer_max_expression","sc_cancer_mean_expression","sc_cancer_total_urothelial_cells","sc_norm_cells_expressing","sc_norm_classification","sc_norm_detection_rate","sc_norm_max_expression","sc_norm_mean_expression","sc_norm_total_urothelial_cells","selected","shared name","sig_and_large_effect","sig_and_meaningful","significant_01","significant_05"
"0.283656839579296","5.84539261079821","0.0037593984962406","0.218676172062631","Medium","3","56","4","477","Small","0.520156900773702","0.283656839579297","0.0456369430091083","0.509058493153324","5.70244773618485","Growth_Factor_Response","60","30.7566566606894","1.21885781964838","-0.573371602733269","0.0189578505318391","High","TRUE","8","1","1","1","urothelial cancer","High","Constitutive","true","true","true","true","urothelial cells","TRUE","High","Enhanced","High","Urinary bladder","true","false","false","0.283656839579296","Urinary bladder","true","true","STUB1","-0.0846413121144884","-0.321357539037556","0.170379913476644","0.187700954115768","-0.193745393190546","1.75123060835322E-31","1","STUB1","0.0375587524142773","0.978663346379006","2.28880447207839E-4","0.049667057044101","1.72455059180906E-4","0.0456369430091083","ERBB2","Signal_Receptor","Unique_to_ERBB2","ERBB2","3","5","2","1","4","721","Urothelial","0.729757085020243","2.44335198406436","0.739147734347313","988","2993","Urothelial","0.142057050643125","2.67288103789016","0.161415695268622","21069","false","STUB1","false","true","true","true"
"0.56396484181106","239.387463773144","0.00460829493087558","0.395718149429638","Large","3","154","4","477","Medium","0.874098945652574","0.563964841811062","0.135391510742222","0.924134353195672","18.6736978142211","Other","53","20.3007980903512","0.804501827702001","2.91420407139731","0.0115776492478046","High","TRUE","6","0","4","0","urothelial cancer","High","Constitutive","true","true","true","true","urothelial cells","TRUE","High","Supported","High","Urinary bladder","true","false","false","0.563964841811059","Urinary bladder","true","true","UBB","-0.354667333681825","-0.589131326467065","0.299362814945013","0.335003026728607","-0.155294039098443","5.00267062154937E-21","3","UBB","0.127909277190974","1.05724226964459","6.2983095247335E-14","8.18780238215355E-12","2.84298693824776E-14","0.135391510742222","ERBB2","Peripheral","Shared_all_3","EGFR,FGFR3,ERBB2","4","5","2","1","3","979","Urothelial","0.990890688259109","3.30591688078295","1.99331807016104","988","7872","Urothelial","0.37362950306137","3.95469895276345","0.730894975346601","21069","false","UBB","true","true","true","true"
"0.598615379235917","236.106902179494","0.00465116279069767","0.313853779107999","Large","3","158","4","477","Medium","0.951463280418536","0.598615379235919","0.0896712048430795","0.944565005823064","11.7466252132494","Unannotated","0","0.0","0.0","-0.115156196355429","-0.0131835545275476","High","TRUE","6","0","4","0","urothelial cancer","High","Constitutive","true","true","true","true","urothelial cells","TRUE","High","Supported","High","Urinary bladder","true","false","false","0.598615379235916","Urinary bladder","true","true","UBC","0.702787796847961","0.0665544343808095","-0.241777208975103","0.0315323677220565","-0.062649881902295",,"3","UBC","0.0818811546261726","0.992749825729021","6.92028613826937E-9","1.1972095019206E-6","4.15697743722431E-9","0.0896712048430795","ERBB2","Functional_Hub","Shared_all_3","EGFR,FGFR3,ERBB2","1","2","5","3","4","985","Urothelial","0.996963562753036","4.22164031914977","2.63634115532908","988","7740","Urothelial","0.36736437419906","4.44371121964905","0.739869291542575","21069","false","UBC","true","true","true","true"
"0.570176896235115","332.015288356308","0.004739336492891","0.307564307776741","Large","3","166","4","477","Medium","0.672201345535764","0.570176896235117","0.0864207620043708","0.681646233504668","11.2805495576187","Translation","1","26.3665282064436","1.04488109471529","5.24387628925637","0.0617957267405278","High","TRUE","6","0","4","0","urothelial cancer","High","Constitutive","true","true","true","true","urothelial cells","TRUE","High","Supported","High","Urinary bladder","true","false","false","0.570176896235115","Urinary bladder","true","true","UBA52","-0.234832628041302","-0.304768521763995","0.344963859439509","-0.149685973781547","0.376877711740673","4.30003304982185E-27","3","UBA52","0.0786091631545663","1.01405068292652","1.52782959406573E-8","2.70425838149634E-6","9.38978604686229E-9","0.0864207620043708","ERBB2","Functional_Hub","Shared_all_3","EGFR,FGFR3,ERBB2","4","5","2","3","1","987","Urothelial","0.998987854251012","3.59818496580177","2.74197964491612","988","9000","Urothelial","0.427167876975651","4.08933553201058","1.2215626299167","21069","false","UBA52","true","true","true","true"
"0.603912219164873","343.33675772203","0.00480769230769231","0.428177887713758","Very Large","3","172","4","477","Large","1.008232237807","0.603912219164875","0.154931698605518","1.01772263255799","21.8628541955966","Translation","1","26.3665282064436","1.04488109471529","5.51781677671266","0.0483309430745854","High","TRUE","6","0","4","0","urothelial cancer","High","Constitutive","true","true","true","true","urothelial cells","TRUE","High","Supported","High","Urinary bladder","true","false","false","0.603912219164872","Urinary bladder","true","true","RPS27A","-0.0735919328210025","-0.628210512895262","0.389512119662728","0.061314864956266","0.0526678601212709","4.30003304982185E-27","3","RPS27A","0.147583707999626","1.00941290547467","3.39182291527021E-16","4.00235104001884E-14","1.38970522222877E-16","0.154931698605518","ERBB2","Functional_Hub","Shared_all_3","EGFR,FGFR3,ERBB2","4","5","1","2","3","988","Urothelial","1.0","4.37507781829973","3.10579828021253","988","9024","Urothelial","0.428306991314253","4.9768330577655","1.70192406456616","21069","false","RPS27A","true","true","true","true"
"0.449826341695278","13.2835122652015","0.00366300366300366","0.0738136796334523","Small","2","90","4","477","Negligible","0.221800242149268","0.449826341695278","0.00541893445718501","0.220001670435707","0.649728771647819","Phosphorylation","50","24.7905599105853","0.982426930658507","-0.624317868789658","0.0769130398653113","High","TRUE","0","3","7","1","urothelial cancer","High","Constitutive","true","true","true","false","urothelial cells","TRUE","Medium","Approved","Medium","Urinary bladder","true","false","false","0.449826341695278","Urinary bladder","true","true","YES1","-0.0640796392161098","0.117074782513228","0.12336060998539","0.0312197067935687","-0.0966410604503173","1.61972053930545E-25","1","YES1","0.0","0.991891029080344","0.638387048515247","1.0","0.62730394003408","0.00541893445718501","ERBB2","Signal_Modifier","Unique_to_ERBB2","ERBB2","4","2","1","3","5","381","Urothelial","0.385627530364372","1.58617008078693","0.295990782663183","988","1341","Non-urothelial","0.0636480136693721","2.15734930541292","0.0662004378342121","21069","false","YES1","false","false","false","false"
"0.176426919807192","0.999935030568946","0.00328947368421053","0.541671159983468","Very Large","2","34","4","477","Large","1.59765542879345","0.176426919807192","0.226848547374476","1.14588740962551","34.988861732772","Growth_Factor_Response","4","30.7566566606894","1.21885781964838","-1.12624187355886","0.236337170119555","High","TRUE","0","3","9","0","urothelial cancer","High","Constitutive","true","true","true","false","urothelial cells","TRUE","High","Approved","Medium","Urinary bladder","true","false","false","0.176426919807192","Urinary bladder","true","true","GRB7","-0.351648096470524","0.794239313154985","0.194805061621326","0.0628149406400005","0.0654069252012689","1.75123060835322E-31","1","GRB7","0.220008493502686","0.717230629943081","4.625742056056E-25","3.56182138316312E-23","1.23674353582053E-25","0.226848547374476","ERBB2","Signal_Receptor","Unique_to_ERBB2","ERBB2","5","1","2","4","3","425","Urothelial","0.430161943319838","1.71946680562749","0.34717655297262","988","579","Non-urothelial","0.0274811334187669","2.15027894264002","0.0256105203563196","21069","false","GRB7","true","true","true","true"
"0.410021146989808","7.18045416669435","0.00389105058365759","0.406655087400356","Very Large","2","76","4","477","Large","1.09794861476805","0.410021146989809","0.141902222309504","0.99391945191421","19.7201769429495","Growth_Factor_Response","191","25.2339987198524","1.0","-0.946085201702051","0.126363237613029","High","TRUE","2","0","9","0","urothelial cancer","High","Constitutive","true","true","true","true","urothelial cells","TRUE","High","Enhanced","High","Urinary bladder","true","false","false","0.410021146989808","Urinary bladder","true","true","PRKCD","-0.591273674978159","-0.147913016824001","0.402645776936052","0.202845170397162","0.243866719616814","5.83446824067576E-26","2","PRKCD","0.134464539221357","0.905251337399048","1.11233128909218E-14","1.41266073714707E-12","4.90507200398289E-15","0.141902222309504","ERBB2","Signal_Receptor","Shared_EGFR_ERBB2","EGFR,ERBB2","5","4","1","3","2","162","Urothelial","0.163967611336032","1.64155602626989","0.116312290358819","988","859","Non-urothelial","0.0407708007024538","2.00861672248215","0.0405315739300965","21069","false","PRKCD","true","true","true","true"
"0.98001671488775","266.614615461483","0.0053475935828877","0.343963878160634","Large","2","214","4","477","Medium","1.05724904361715","0.98001671488775","0.105794482630698","1.04754943538146","14.108604575407","Growth_Factor_Response","177","30.7566566606894","1.21885781964838","6.18024204285193","0.0719981286160271","High","TRUE","4","0","7","0","urothelial cancer","High","Constitutive","true","true","true","true","urothelial cells","TRUE","Medium","Enhanced","High","Urinary bladder","true","false","false","0.98001671488775","Urinary bladder","true","true","EGFR","0.937293941986474","-0.110255493394989","-0.0210889908310679","-0.0368286382381561","-0.0293286878133592","1.75123060835322E-31","3","EGFR","0.0981119787686176","0.990825616448415","1.26737711036529E-10","1.97710829216985E-8","6.86495934781198E-11","0.105794482630698","ERBB2","Functional_Hub","Shared_all_3","EGFR,FGFR3,ERBB2","1","5","2","4","3","229","Urothelial","0.231781376518219","1.73647021481081","0.171732343308569","988","1404","Non-urothelial","0.0666381888082016","2.38481670629391","0.0710164981916199","21069","false","EGFR","true","true","true","true"
"0.460733195598551","14.6056737805909","0.00398406374501992","0.182838983793424","Medium","2","86","4","477","Small","0.67676827662141","0.460733195598552","0.032348674756888","0.673245717000078","3.98653870885747","Growth_Factor_Response","122","25.2339987198524","1.0","-0.630458366648397","-0.055471821093491","Medium","TRUE","0","4","5","3","urothelial cancer","Medium","Constitutive","true","true","false","false","urothelial cells","TRUE","High","Uncertain","Low","Urinary bladder","true","false","false","0.460733195598551","Urinary bladder","true","true","AKT2","-0.0222962752743307","0.142818072817267","-0.214236903595266","-0.0131015966879605","0.459008813404811","5.83446824067576E-26","2","AKT2","0.0241851358057641","0.994795028456537","0.0041231252832797","0.985426942703847","0.0034216213288328","0.032348674756888","ERBB2","Signal_Receptor","Shared_EGFR_ERBB2","EGFR,ERBB2","4","2","5","3","1","236","Urothelial","0.238866396761134","1.72690240966538","0.175655902619391","988","791","Non-urothelial","0.0375433100764156","2.15802597560238","0.0356566931073074","21069","false","AKT2","false","true","true","true"
